"Date","San Jose","SJ metro area"
"Jan 2006","5.4","4.9"
"Feb 2006","5.4","4.9"
"March 2006","5.3","4.8"
"Apr 2006","4.9","4.5"
"May 2006","4.6","4.2"
"June 2006","5.1","4.6"
"July 2006","5.4","4.8"
"Aug 2006","5.1","4.6"
"Sept 2006","4.9","4.4"
"Oct 2006","4.7","4.2"
"Nov 2006","4.9","4.4"
"Dec 2006","4.5","4.1"
"Jan 2007","5.3","4.8"
"Feb 2007","5.1","4.7"
"March 2007","5.1","4.6"
"Apr 2007","4.9","4.5"
"May 2007","4.7","4.3"
"June 2007","5.3","4.8"
"July 2007","5.6","5.1"
"Aug 2007","5.5","4.9"
"Sept 2007","5.4","4.8"
"Oct 2007","5.4","4.8"
"Nov 2007","5.4","4.9"
"Dec 2007","5.3","4.9"
"Jan 2008","5.7","5.2"
"Feb 2008","5.6","5.2"
"March 2008","5.9","5.4"
"Apr 2008","5.5","5.1"
"May 2008","6","5.4"
"June 2008","6.7","6"
"July 2008","7.1","6.4"
"Aug 2008","7.2","6.5"
"Sept 2008","7.1","6.4"
"Oct 2008","7.5","6.8"
"Nov 2008","7.9","7.2"
"Dec 2008","8.4","7.7"
"Jan 2009","10","9.1"
"Feb 2009","10.7","9.7"
"March 2009","11.4","10.4"
"Apr 2009","11.2","10.2"
"May 2009","11.6","10.5"
"June 2009","12.4","11.2"
"July 2009","12.5","11.3"
"Aug 2009","12.5","11.3"
"Sept 2009","12.4","11.2"
"Oct 2009","12.4","11.2"
"Nov 2009","12.2","11.1"
"Dec 2009","11.9","11"
"Jan 2010","12.3","11.2"
"Feb 2010","12.1","11.1"
"March 2010","12.2","11.1"
"Apr 2010","11.6","10.6"
"May 2010","11.3","10.3"
"June 2010","11.6","10.6"
"July 2010","11.8","10.7"
"Aug 2010","11.6","10.5"
"Sept 2010","11.2","10.2"
"Oct 2010","11.1","10.1"
"Nov 2010","11.3","10.3"
"Dec 2010","10.7","9.8"
"Jan 2011","11.1","10.2"
"Feb 2011","10.8","10"
"March 2011","10.7","9.8"
"Apr 2011","10.3","9.4"
"May 2011","10.1","9.3"
"June 2011","10.7","9.8"
"July 2011","10.7","9.8"
"Aug 2011","10.4","9.5"
"Sept 2011","10.2","9.3"
"Oct 2011","10","9.1"
"Nov 2011","9.7","8.9"
"Dec 2011","9.4","8.6"
"Jan 2012","9.6","8.8"
"Feb 2012","9.5","8.7"
"March 2012","9.3","8.6"
"Apr 2012","8.7","8"
"May 2012","8.7","8"
"June 2012","9.1","8.3"
"July 2012","9.3","8.5"
"Aug 2012","8.9","8.1"
"Sept 2012","8.2","7.4"
"Oct 2012","8.2","7.5"
"Nov 2012","8","7.3"
"Dec 2012","7.8","7.1"
"Jan 2013","8.3","7.6"
"Feb 2013","7.8","7.2"
"March 2013","7.6","7"
"April 2013","7","6.4"
"May 2013","7","6.4"
"June 2013","7.5","6.8"
"July 2013","7.6","6.9"
"Aug 2013","7.2","6.6"
"Sept 2013","6.9","6.3"
"Oct 2013","6.9","6.3"
"Nov 2013","6.6","6"
"Dec 2013","6.1","5.6"
"Jan 2014","6.4","5.9"
"Feb 2014","6.4","5.9"
"March 2014","6.4","5.9"
"April 2014","5.5","5"
"May 2014","5.6","5.1"
"June 2014","5.7","5.2"
"July 2014","6.2","5.6"
"Aug 2014","5.9","5.4"
"Sept 2014","5.4","4.9"
"Oct 2014","5.4","4.9"
"Nov 2014","5.3","4.9"
"Dec 2014","4.8","4.4"
"Jan 2015","5.3","4.9"
"Feb 2015","5","4.6"
"March 2015","4.9","4.5"
"April 2015","4.5","4.1"
"May 2015","4.5","4.2"
"June 2015","4.6","4.2"
"July 2015","4.9","4.5"
"Aug 2015","4.6","4.2"
"Sept 2015","4.3","3.9"
"Oct 2015","4.5","4.1"
"Nov 2015","4.4","4.1"
"Dec 2015","4.2","3.9"
"Jan 2016","4.2","3.9"
"Feb 2016","4.2","3.8"
"March 2016","4.2","3.9"
"April 2016","4.1","3.7"
"May 2016","3.7","3.4"
